linkedin,numOfCompanies
linkedin,numOfConnections
linkedin,numOfCoworkers
linkedin,numOfFriendsFromFirstMostRecentEducation
linkedin,numOfFriendsFromFirstMostRecentEducationWithSameGraduationYear
linkedin,numOfFriendsFromSecondMostRecentEducation
linkedin,numOfFriendsFromSecondMostRecentEducationWithSameGraduationYear
linkedin,numOfFriendsFromThirdMostRecentEducation
linkedin,numOfFriendsFromThirdMostRecentEducationWithSameGraduationYear
linkedin,numOfFriendsWorkingAtFirstMostRecentEducation
linkedin,numOfFriendsWorkingAtSecondMostRecentEducation
linkedin,numOfFriendsWorkingAtThirdMostRecentEducation
linkedin,numOfLinkedTwitterAccounts
linkedin,numOfPositions
linkedin,numOfRecommendationsReceived
linkedin,numOfSchoolFriends
linkedin,numOfStudentFriends
